ts,agent_id,x,y,z,v
2303815,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
2303816,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
2303817,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
2303818,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
2303819,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
2303820,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
2303821,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
2303822,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
2303823,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.6824340291645714e-08
2303824,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.496007553914574e-08
2303825,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.382788391537965e-08
2303826,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.656606047709813e-08
2303827,0,192.36241149902344,-86.26268005371094,-0.041076697409152985,0.0002860012089695939
2303828,0,192.36244201660156,-86.26265716552734,-0.03865550830960274,0.0011599358876301041
2303829,0,192.36241149902344,-86.26264190673828,-0.034043312072753906,0.0004836575692978664
2303830,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.0001337906158261704
2303831,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.492912007583521e-05
2303832,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.00012735999440608066
2303833,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.00016131375865587025
2303834,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.0001696035451790879
2303835,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016430900712859192
2303836,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.00015263080040822777
2303837,0,192.36244201660156,-86.26265716552734,0.01010768860578537,0.00013929799121303725
2303838,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.00012422960908047606
2303839,0,192.36244201660156,-86.26265716552734,0.016817854717373848,0.00011068224176129778
2303840,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.753618356814907e-05
2303841,0,192.36245727539062,-86.26266479492188,0.021795349195599556,8.58655297340393e-05
2303842,0,192.36245727539062,-86.26266479492188,0.023747749626636505,7.496213090131017e-05
2303843,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.55344977418123e-05
2303844,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.729822884684549e-05
2303845,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.00729706297112e-05
2303846,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.353179066522153e-05
2303847,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.8657174777605873e-05
2303848,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.338141512244223e-05
2303849,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.9098302376244325e-05
2303850,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.5405175874163877e-05
2303851,0,192.36245727539062,-86.2626724243164,0.03187461942434311,2.207716820120521e-05
2303852,0,192.36245727539062,-86.2626724243164,0.032195623964071274,1.8842061627718957e-05
2303853,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.6515338185856906e-05
2303854,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.410849033541944e-05
2303855,0,192.36245727539062,-86.2626724243164,0.03285682573914528,1.2583956416096173e-05
2303856,0,192.36245727539062,-86.2626724243164,0.033003728836774826,1.1305148194710683e-05
2303857,0,192.36245727539062,-86.2626724243164,0.033124085515737534,9.634883251607525e-06
2303858,0,192.36245727539062,-86.2626724243164,0.03322257846593857,8.076241836615566e-06
2303859,0,192.36245727539062,-86.2626724243164,0.033303145319223404,7.043594881022279e-06
2303860,0,192.36245727539062,-86.2626724243164,0.033368948847055435,5.560286371182061e-06
2303861,0,192.36245727539062,-86.2626724243164,0.03342258557677269,5.091155350252122e-06
2303862,0,192.36245727539062,-86.26268005371094,0.033466413617134094,4.564861966921631e-06
2303863,0,192.36245727539062,-86.26268005371094,0.0334714874625206,4.0659433905963976e-07
2303864,0,192.36245727539062,-86.26268005371094,0.03348476439714432,3.250742933225837e-07
2303865,0,192.36245727539062,-86.26268005371094,0.03350048139691353,3.81341173060239e-07
2303866,0,192.36245727539062,-86.26268005371094,0.033516958355903625,4.1442040765486623e-07
2303867,0,192.36245727539062,-86.26268005371094,0.033533286303281784,4.472732977939568e-07
2303868,0,192.36245727539062,-86.26268005371094,0.03354877233505249,3.627381266025216e-07
2303869,0,192.36245727539062,-86.26268005371094,0.0335630401968956,2.5409505215211026e-07
2303870,0,192.36245727539062,-86.26268005371094,0.03357597440481186,3.4139186585191774e-07
2303871,0,192.36245727539062,-86.26268005371094,0.03358745574951172,2.142547316518971e-07
2303872,0,192.36245727539062,-86.26268005371094,0.033597640693187714,2.239914052800069e-07
2303873,0,192.36245727539062,-86.26268005371094,0.03360656648874283,1.5725552092615927e-07
2303874,0,192.36245727539062,-86.26268005371094,0.03361419588327408,2.424681145201186e-07
2303875,0,192.36245727539062,-86.26268005371094,0.03362079709768295,1.2207955660533762e-07
2303876,0,192.36245727539062,-86.26268005371094,0.03362640365958214,1.0660015285874846e-07
2303877,0,192.36245727539062,-86.26268005371094,0.033631209284067154,7.997637660874854e-08
2303878,0,192.36245727539062,-86.26268005371094,0.033635254949331284,1.193206706956644e-07
2303879,0,192.36245727539062,-86.26268005371094,0.0336386114358902,7.618398658366754e-08
2303880,0,192.36245727539062,-86.26268005371094,0.0336386114358902,1.3395019729412505e-07
2303881,0,192.36245727539062,-86.26268005371094,0.03364017233252525,1.349049841609454e-07
2303882,0,192.36245727539062,-86.26268005371094,0.033641546964645386,6.341782751344841e-08
2303883,0,192.36245727539062,-86.26268005371094,0.0336429588496685,2.4127976742706488e-08
2303884,0,192.36245727539062,-86.26268005371094,0.033644407987594604,1.553796784014394e-07
2303885,0,192.36245727539062,-86.26268005371094,0.03364574536681175,7.533247008806076e-08
2303886,0,192.36245727539062,-86.26268005371094,0.033647000789642334,2.747397328180454e-08
2303887,0,192.36245727539062,-86.26268005371094,0.03364814817905426,1.5604252263979782e-07
2303888,0,192.36245727539062,-86.26268005371094,0.033649176359176636,2.2784067078688102e-08
2303889,0,192.36245727539062,-86.26268005371094,0.033649176359176636,6.692272574761348e-08
2303890,0,192.36245727539062,-86.26268005371094,0.03365089371800423,9.33359227768135e-08
2303891,0,192.36245727539062,-86.26268005371094,0.03365089371800423,5.809538922259261e-08
2303892,0,192.36245727539062,-86.26268005371094,0.03365219011902809,2.279544467321162e-08
2303893,0,192.36245727539062,-86.26268005371094,0.03365219011902809,7.401910611035891e-08
2303894,0,192.36245727539062,-86.26268005371094,0.03365219011902809,1.7153053202589186e-07
2303895,0,192.36245727539062,-86.26268005371094,0.03365344926714897,8.960344382682994e-08
2303896,0,192.36245727539062,-86.26268005371094,0.03365344926714897,1.010683625933137e-07
2303897,0,192.36245727539062,-86.26268005371094,0.03365344926714897,2.368563395190199e-07
2303898,0,192.36245727539062,-86.26268005371094,0.03365344926714897,5.4177312863290755e-08
